,Date - Heure,target,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
2564,2025-04-17 20:00:00+01:00,50308.5,1.611997,-1.3833159,1.2746339,-1.0112594,2.1875167,-0.29343268,1.7426081,-0.54011256,0.11884457,0.3331082,-0.612145,0.18468304,-0.2811101,-0.022102904,-0.411399,-0.3019202,-0.011213211,-0.10806621
5574,2025-08-21 06:00:00+01:00,38147.0,-2.8630316,0.023046017,1.2988966,-0.302213,-0.57094777,-0.2757774,0.0791351,-0.30456483,-0.96658397,0.33339456,-0.4782031,-1.204241,0.019251633,-0.1527941,-0.31550455,-0.12253058,-0.80207574,-0.72517383
102,2025-01-05 06:00:00+01:00,50825.75,0.61641324,5.8912992,-1.8864682,1.4882948,-0.112459786,-0.4608237,-0.99837023,-0.9000008,-0.75400054,1.7939368,-1.533676,-0.16507828,0.5767895,-0.24083352,0.2052916,-0.64821744,0.70045507,1.041151
108,2025-01-05 12:00:00+01:00,60573.75,1.8407434,6.441015,-2.0803816,1.5899255,0.9650012,-0.19079898,-0.71393716,-0.8709131,-0.9375593,0.2779166,-1.9272211,0.52489674,0.16235787,0.2632805,0.6459405,-1.4110227,0.52779055,0.4309113
1317,2025-02-24 21:00:00+01:00,54940.0,3.0331917,0.5960473,0.48746905,-0.93601465,1.5732816,0.34276626,0.4827153,-0.23377687,-0.24819815,-1.3165057,-0.10111348,-1.4669292,-0.07285716,-0.43521267,-0.27641585,0.48852244,0.6611408,-0.21308996
1077,2025-02-14 21:00:00+01:00,63836.5,5.855457,1.2476954,2.4343948,-1.5639715,-2.0063496,-0.8715745,1.6035376,-0.13490884,-0.49270308,-0.042847835,0.745116,-1.1658821,-0.5753674,0.6945007,-0.14655323,-0.22995718,2.002386,1.7636994
4497,2025-07-07 09:00:00+01:00,48463.5,-2.152703,0.9794889,-0.03130602,0.0020947643,-0.48755294,-0.9147666,0.46408775,0.49834055,0.04597913,-0.95368767,0.18292159,0.23013142,-0.5479983,0.7733611,-0.6163007,-0.46500278,-0.7414202,-0.6795922
2454,2025-04-13 06:00:00+01:00,33948.5,-2.3611004,1.1381369,-0.27256268,0.13175511,0.960491,1.0828129,-0.614174,0.09709701,0.07159668,0.7229676,0.13016458,-0.3129249,0.18522061,-0.67006326,-0.3109567,0.4638052,-0.15093237,1.1032906
3094,2025-05-09 22:00:00+01:00,42415.25,-0.25990844,1.1541303,2.1398404,-0.37715542,2.2634475,0.583416,1.2637362,-0.7155138,0.16453733,0.13203274,-1.279896,-0.30104935,-0.7405002,-0.022763677,-0.71800077,0.18445966,0.45353174,0.30286098
3871,2025-06-11 07:00:00+01:00,45164.25,-1.2940862,-0.24826181,1.5795002,-1.0605983,-0.05441878,-0.34306508,0.21600664,-0.23417263,1.4086365,0.0027658045,-0.2128164,0.43765402,-0.51057434,0.53052753,0.074253336,0.24999101,0.47875607,-0.5414291
3841,2025-06-10 01:00:00+01:00,35219.25,-1.9197427,-0.30013824,2.1774,-1.5402206,0.10136196,-0.4254162,-0.64442205,-0.8300583,1.4904469,1.1217307,0.5098525,0.43401575,-0.050708875,-0.20366478,-0.32837784,0.75658107,0.14458266,0.03909083
